label,message
spam,Your mobile number has won 1000 EUR. Contact us at tinyurl.com/claimnow
spam,Your mobile number has won 1000 GBP. Contact us at tinyurl.com/claimnow
ham,Let’s book tickets for the movie tonight.
ham,Meeting rescheduled to noon. Please confirm availability.
spam,Free Netflix account for 1 year. Join here: tinyurl.com/claimnow
spam,"Limited time offer! Buy one gift box, get one free. Visit: bit.ly/free-win"
ham,Your order #4563 has been shipped and will arrive by Monday.
spam,Win a 5000 GBP cash prize. Act fast! bit.ly/free-win
ham,Reminder: Team meeting scheduled for tomorrow at noon.
ham,Your order #4563 has been shipped and will arrive by Monday.
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,Congratulations! You've won a 1000 GBP gift card. Click here: bit.ly/free-win
ham,Just checking in. How's everything going with you?
ham,"Balance alert: Your account balance is ₹5,432.23."
ham,Meeting rescheduled to noon. Please confirm availability.
spam,Your mobile number has won 1000 GBP. Contact us at clicknow.com/deal
spam,Free Netflix account for 1 year. Join here: tinyurl.com/claimnow
spam,Your mobile number has won 100 INR. Contact us at tinyurl.com/claimnow
ham,"Hey, what's your plan for this weekend?"
ham,Your package has been delivered. Check your doorstep.
spam,Congratulations! You have been selected for a VIP membership. Click: clicknow.com/deal
ham,What time are we leaving for the airport?
ham,Your package has been delivered. Check your doorstep.
spam,Claim your free headphones now. Limited time offer: bit.ly/free-win
ham,Newsletter: Top productivity tips for remote workers inside!
ham,"Balance alert: Your account balance is ₹5,432.23."
ham,"Hey, what's your plan for this weekend?"
spam,Join our exclusive crypto airdrop today. Limited slots: offer.link/win
ham,Happy birthday! Hope you have a wonderful day 🎉
ham,Happy birthday! Hope you have a wonderful day 🎉
spam,You are the lucky winner of our holiday sweepstakes! Confirm at tinyurl.com/claimnow
ham,Newsletter: Top productivity tips for remote workers inside!
spam,"Limited time offer! Buy one gift box, get one free. Visit: clicknow.com/deal"
ham,Just checking in. How's everything going with you?
spam,You are the lucky winner of our holiday sweepstakes! Confirm at bit.ly/free-win
spam,Final notice: You're eligible for a tax refund. Submit details at clicknow.com/deal
spam,Free Netflix account for 1 year. Join here: clicknow.com/deal
ham,Can you send me the notes from yesterday's class?
spam,Act now to secure your free trial of headphones. Offer expires today!
ham,What time are we leaving for the airport?
ham,What time are we leaving for the airport?
ham,Meeting rescheduled to noon. Please confirm availability.
ham,"Hi! I'm running 10 minutes late, be there soon."
spam,URGENT: Your account has been suspended. Restore access at offer.link/win
spam,Free trial of our antivirus software ends soon. Renew now at clicknow.com/deal
spam,Congratulations! You've won a 5000 EUR gift card. Click here: bit.ly/free-win
spam,This is not a scam! Claim your inheritance now: clicknow.com/deal
spam,You’re approved for a loan up to 1000 USD. Apply at tinyurl.com/claimnow
spam,Join our exclusive crypto airdrop today. Limited slots: tinyurl.com/claimnow
ham,Meeting rescheduled to 3 PM. Please confirm availability.
